Exportado em: 27/06/2018;;;;;;;;;Transparência Fly;
Camboriú - SC;;;;;;;;;;
Todas as entidades do município;;;;;;;;;;
Consulta de compras diretas;;;;;Última atualização: 27/06/2018 22:25:08;;;;;
Filtros utilizados para elaboração da consulta: Entidade: Todas | Ano: 2018 | Mês: Junho | Centro de custos: Todos | Tipo de compra: Todos;;;;;;;;;;
Compra;Data da compra;Objeto;Centro de custos;Fornecedor;;Valor (R$);Justificativa;Tipo de compra;;Anulação / Data
224 - 2018;30/05/2018;SELEÇÃO DE PROPOSTA DE PREÇO PARA AQUISIÇÃO DE 01 MÁQUINA DE LAVAR ROUPAS 11KG, PARA USO DAS GUARNIÇÕES DO DORPO DE BOMBEIROS MILITAR DE CAMBORIU.;SECRETARIA DE ADMINISTRAÇÃO;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;1.650,00;;Compra Comum;;
223 - 2018;30/05/2018;AQUISIÇÃO DE MATERIAL ELÉTRICO PARA MANUTENÇÃO DE UMA TOMADA NA COZINHA DO TÉRREO DOPAÇO MUNICIPAL E UMA EXTENSÃO PARA LIGAR O COMPUTADOR NA SECRETARIA DE ADMINISTRAÇÃO.;SECRETARIA DE ADMINISTRAÇÃO;HIDRO`ART MATERIAIS PARA CONSTRUÇÃO.;;42,72;;Compra Comum;;
222 - 2018;28/05/2018;AQUISIÇÃO DE ROTEADOR A SER INSTALADO NA SEDE DO DEMUTRAN, NO DISTRITO DO MONTE ALEGRE, NESTE MUNICÍPIO. OBS: A AQUISIÇÃO DESTE ITEM SE JUSTIFICA, PELO FATO DE TER SIDO CANCELADO O EMPENHO 501/2018, A DEVIDO A EMPRESA VENCEDORA POSSUIR SOMENTE CUPOM FISCAL PARA AQUISIÇÃO DAS PEÇAS E EQUIPAMENTOS, SENDO QUE A LEGISLAÇÃO VIGENTE, DETERMINA QUE TODA PESSOA JURÍDICA JUNTAMENTE COM O CUPOM FISCAL, DEVE APRESENTAR A NOTA FISCAL ELETRÔNICA DE AQUISIÇÃO DE MATERIAL.;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;CESAR PEREIRA -ME;;120,00;;Compra Comum;;
221 - 2018;23/05/2018;AQUISIÇÃO DE UTENSÍLIOS DIVERSOS DE COPA E COZINHA DESTINADOS PARA QUIPAR E SUPRIR CARÊNCIAS NESSE SETOR, SENDO NECESSÁRIA A AQUISIÇÃO DOS OBJETOS AQUI DESCRITOS.;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;D.A. SILVA- ME;;2.259,96;;Compra Comum;;
220 - 2018;23/05/2018;AQUISIÇÃO DE CARTUCHO PARA O RELÓGIO PONTO DO PAÇO MUNICIPAL.;SECRETARIA DE ADMINISTRAÇÃO;TIME TEC CONTROLE DE PONTO/ACESSO LTDA - ME;;120,00;;Compra Comum;;
219 - 2018;23/05/2018;PRESTAÇÃO DE SERVIÇO PARA CONSERTO DE RAMAIS TELEFÔNICO NO PAÇO MUNICIPAL QUE ESTÃO COM DEFEITO, SÃO ELES: RAMAL 9567 E 9550 SECRETARIA DE FINANÇAS, RAMAL 9546 DA CONTROLADORIA, RAMAL 9540 DA SECRETARIA DE ADMINISTRAÇÃO, RAMAL 9531 DO DEPARTAMENTO DE COMPRAS E LICITAÇÕES, RAMAL 9506 DA SECRETARIA DE PLANEJAMENTO URBANO E RAMAL 9572 DA PROCURADORIA GERAL DO MUNICIPIO.;SECRETARIA DE ADMINISTRAÇÃO;CESAR PEREIRA -ME;;420,00;;Compra Comum;;
218 - 2018;23/05/2018;PRESTAÇÃO DE SERVIÇOS DE HORAS TÉCNICAS PARA CONFIGURAÇÃO DE INFORMAÇÕES NO SISTEMA BETHA FOLHA DO DEPARTAMENTO DE GESTÃO DE PESSOAS DA SECRETARIA DE ADMINISTRAÇÃO, CONFORME DOCUMENTO EM ANEXO.;SECRETARIA DE ADMINISTRAÇÃO;BETHA SISTEMAS LTDA;;1.280,00;;Compra Comum;;
217 - 2018;23/05/2018;LIBERAÇÃO DE ACESSO A CURSO BETHA.;CONTROLADORIA;BETHA SISTEMAS LTDA;;400,00;;Compra Comum;;
216 - 2018;17/05/2018;PRESTAÇÃO DE SERVIÇO REFERENTE AO CONSERTO DE UMA IMPRESSORA, EPSON, PARA CONTINUIDADE DOS SERVIÇOS EXECUTADOS PELA SECRETARIA MUNICIPAL DE FINANÇAS.;SECRETARIA DE ADMINISTRAÇÃO;VITALINO COMERCIO E SERVICOS TECNOLOGICOS LTDA - M;;149,00;;Compra Comum;;
215 - 2018;17/05/2018;AQUISIÇÃO DE PLACAS EM PVC COM FERRO QUE SERÃO UTILIZADOS NO PROJETO TEMPERAR QUE SERÁ REALIZADO NAS ESCOLAS MUNICIPAIS DO MUNICÍPIO DE CAMBORIU E ADESIVOS PARA SEREM COLOCADOS NAS CARRETINHAS AGRÍCOLAS QUE PERTENCEM A SECRETARIA DE AGRICULTURA.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;RENILDA LOURDES DA SILVA 98302604968;;475,20;;Compra Comum;;
214 - 2018;17/05/2018;AQUISIÇÃO DE FERRAMENTAS, ENXADAS, FOICES, TRENAS E LIMAS PARA SEREM UTILIZADOS NO TRABALHO QUE A SECRETARIA DESENVOLVE NOS COLÉGIOS E ÁREAS PÚBLICAS DE CAMBORIU.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;AGROPECUARIA FCA LTDA ME;;489,50;;Compra Comum;;
213 - 2018;15/05/2018;FAZ-SE NECESSÁRIA COMPRA DE REGISTRO DE GAVETA PARA PORTAL TURISTICO - PMC.;SECRETARIA DE DESENVOLVIMENTO ECÔNOMICO;FONTE DOS REPAROS LTDA;;90,00;;Compra Comum;;
212 - 2018;14/05/2018;AQUISIÇÃO DE CARIMBOS REFIL NECESSÁRIOS PARA SEREM UTILIZADOS NO SETOR ADMINISTRATIVO DA SECRETARIA DE AGRICULTURA.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;AIRTON PADILHA PEREIRA ME;;450,00;;Compra Comum;;
211 - 2018;14/05/2018;SELEÇÃO DE PROPOSTA VISANDO A CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS FOTOGRAFICOS , BEM COMO FORMAÇÃO DE BANCO DE IMAGENS, PRODUÇÃO DE ACERVO DESTINADOS A VISIBILIDADE DA MUNICIPALIDADE. SERÁ PRODUZIDO ESTE ECERVO PARA USO EM FOLHETOS, BANNERS, OUTDOORS, MÍDIAS SOCIAIS E EVENTOS DO MUNICÍPIO.;SECRETARIA DE DESENVOLVIMENTO ECÔNOMICO;MARCELLO SOKAL 00144729709;;3.490,00;;Compra Comum;;
210 - 2018;14/05/2018;PRESTAÇÃO DE SERVIÇO DE MÃO DE OBRA PARA CONSERTO DO CARBURADOR DA MOTO PLACA MHU 7644 DO DEPARTAMENTO DE FISCALIZAÇÃO DA SECRETARIA MUNICIPAL DE FINANÇAS, PARA ATENDER OS SERVIÇOS EXECUTADOS PELA MESMA.;SECRETARIA DE FINANÇAS;DOIS IRMÃOS MOTO PEÇAS LTDA ME;;55,00;;Compra Comum;;
209 - 2018;14/05/2018;AQUISIÇÃO DE PEÇA PARA CONSERTO DO CARBURADOR DA MOTO PLACA MHU-7644 DO DEPARTAMENTO DE FISCALIZAÇÃO DA SECRETARIA MUNICIPAL DE FINANÇAS, PARA PODER DAS CONTINUIDADE AOS SERVIÇOS EXECUTADOS PELA MESMA;SECRETARIA DE FINANÇAS;DOIS IRMÃOS MOTO PEÇAS LTDA ME;;15,00;;Compra Comum;;
208 - 2018;14/05/2018;NECESSÁRIA A AQUISIÇÃO DE BOMBONAS DE AGUAS, DESTINADO AOS SERVIDORES DA SECRETARIA DE DESENVOLVIMENTO - PMC.;SECRETARIA DE DESENVOLVIMENTO ECÔNOMICO;JONATHAN JOAO DREHMER DALMAS;;95,00;;Compra Comum;;
207 - 2018;14/05/2018;AQUISIÇÃO DE GÁS PARA ATENDER A DEMANDA DA PREFEITURA MUNICIPAL DE CAMBORIU.;SECRETARIA DE ADMINISTRAÇÃO;ANNE HELLEN LAUDELINA DA ROSA DE PAULO;;1.035,00;;Compra Comum;;
206 - 2018;14/05/2018;AQUISIÇÃO DE BANDEIRAS DO BRASIL, SANTA CATARINA E MUNICÍPIO PARA O MASTRO DO PAÇO MUNICIPAL, PARA UTILIZAR EM EVENTOS DA MUNICIPALIDADE E PARA O MASTRO DA RÓTULA DA AVENIDA SANTA CATARINA.;SECRETARIA DE ADMINISTRAÇÃO;INTERFLAG INDUSTRIA E COMERCIO EIRELI;;5.110,00;;Compra Comum;;
205 - 2018;14/05/2018;SERVIÇO DE ACESSO Á INTERNET BANDA LARGA, PLANO DE DOZE MESES COM 50MBPS E IP FIXO, COM SERVIDOR CONTROLADOR DE DOMÍNIO PARA UTILIZAÇÃO DOS SETORES ADMINISTRATIVOS, E APLICATIVO MOBILE PMSC PARA TABLETS E SMARTHPHONES DA 1ª CIA PM DE CAMBORIU. EM RAZÃO DA ATIVIDADE ESPECÍFICA, QUE DISPÕE DE SERVIDOR CONTROLADOR DE DOMÍNIO, A EMPRESA IMBRANET É HABILITADA PARA PRESTAR TAL SERVIÇO, CONSOANTE ART. 25, I, LEI 8666/90.;SECRETARIA DE ADMINISTRAÇÃO;IMBRANET INTERNET E INFORMÁTICA LTDA ME;;4.198,80;;Compra Comum;;
204 - 2018;14/05/2018;ASSINATURA DE JORNAL REGIONAL COM VEICULAÇÃO DIÁRIA, ESSENCIAL PARA ACOMPANHAMENTO DE NOTÍCIAS DE CAMBORIÚ NA ASSESSORIA DE COMUNICAÇÃO SOCIAL.;ASSESSORIA DE COMUNICAÇÃO;V&T MIDIA ON LINE LTDA (DIARINHO);;543,00;;Compra Comum;;
203 - 2018;09/05/2018;AQUISIÇÃO DE ALIMENTOS PARA SEREM SERVIDOS AOS AGRICULTORES PARTICIPANTES DO 2º ENCONTRO MUNICIPAL DE PRODUTOS DE ARROZ.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;SAULO GARCIA ME - MERCADO BOM PREÇO;;3.428,04;;Compra Comum;;
202 - 2018;08/05/2018;MATERIAL PARA INSTALAÇÃO DE DIVISÓRIA NO CITRAN DE CAMBORIU. A COMPRA ESTÁ SENDO REALIZADA PELO MENOR PREÇO GERAL, TENDO EM VISTA QUE A MESMA EMPRESA DEVERÁ FORNECER TODO O MATERIAL E INSTALA-LO NO LOCAL, DE MODO QUE NÃO SERÁ POSSIVEL SEPARAR POR ITENS ESTA COMPRA.;SECRETARIA DE ADMINISTRAÇÃO;DIFORRO COMERCIO DE MATERIAIS PARA DECORACOES LTDA;;3.518,48;;Compra Comum;;
201 - 2018;04/05/2018;AQUISIÇÃO DE IMPRESSORA LASER MULTIFUNCIONAL PARA IMPRESSÃO DE DOCUMENTOS UTILIZADOS PELO POLICIAIS MILITARES DA 1ª CIA DE POLICIA MILITAR DE CAMBORIU.;SECRETARIA DE ADMINISTRAÇÃO;IDALECIO EDUARDO EPP;;1.099,00;;Compra Comum;;
200 - 2018;04/05/2018;AQUISIÇÃO DE 200 CONVITES PARA SER DISTRIBUIDOS PARA OS AGRICULTORES PARA O ENCONTRO MUNICIPAL DOS PRODUTORES DE ARROZ A SER REALIZADO DIA 11 DE MAIO DE 2018, NO SALÃO PAROQUIAL DO BRAÇO NO MUNICÍPIO DE CAMBORIU.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;LUIZ GUSTAVO DE NARDI KELM FERREIRA 05005839941;;495,00;;Compra Comum;;
199 - 2018;04/05/2018;SERVIÇO TÉCNICO PARA O CONSERTO DE RELÉGIO PONTO DIGITAL, NA EXTENSÃO DA SECRETARIA DE OBRAS NO BAIRRO MONTE ALEGRE;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;RICARDO SOARES - ME;;210,00;;Compra Comum;;
198 - 2018;04/05/2018;MÃO DE OBRA PARA EFETUAR O ALINHAMENTO E GEOMETRIA NO GOL VOLKSWAGEM PLACA MHI 1062, SENDO QUE AS PEÇAS ENCONTRAM-SE DESGASTADAS PELO TEMPO DE USO E NECESSITA URGENTEMENTE A TROCA.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;JOSE HENRIQUE COPPI ME;;315,00;;Compra Comum;;
197 - 2018;04/05/2018;PEÇAS PARA MANUTENÇÃO DE GOL VOLKSWAGEM PLACA MIH1062, SENDO QUE AS PEÇAS ENCONTRAM-SE DESGASTADAS PELO TEMPO DE USO E NECESSITA URGENTEMENTE FAZER A MANUTENÇÃO E TROCA DAS PEÇAS ACIMA;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;JOSE HENRIQUE COPPI ME;;1.485,00;;Compra Comum;;
196 - 2018;03/05/2018;MATERIAL PARA UTILIZAÇÃO NA COZINHA DA DELEGACIA DE CAMBORIU.;SECRETARIA DE ADMINISTRAÇÃO;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;292,25;;Compra Comum;;
195 - 2018;03/05/2018;AQUISIÇÃO DE ESTERCO DE GALINHA, ELEMENTO MUITO IMPORTANTE PARA O DESENVOLVIMENTO E PRODUÇÃO DAS PLANTAS QUE A SECRETARIA PLANTA NAS ÁREAS PÚBLICAS E PRAÇAS NO MUNICÍPIO DE CAMBORIU.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;CLENIO DA SILVA;;498,00;;Compra Comum;;
194 - 2018;03/05/2018;AQUISIÇÃO DE MATERIAL PARA A CENTRAL DE ALARME DO GINÁSIO DE ESPORTES IRINEU BORNHAUSEN, TENDO EM VISTA A REALIZAÇÃO DE EVENTOS NO ESPAÇO E A NECESSIDADE DE ADEQUAÇÃO AS EXIGÊNCIAS DOS BOMBEIROS.;SECRETARIA DE ADMINISTRAÇÃO;COMERCIAL WG IMPORT EQUIP. DE SEG. E INCENDIO LTDA;;55,00;;Compra Comum;;
193 - 2018;03/05/2018;AQUISIÇÃO DE MATERIAIS PARA SEGURANÇA E PROTEÇÃO DOS FUNCIONÁRIOS DA SECRETARIA QUE PRESTAM SERVICOS NOS COLÉGIOS E ÁREAS PÚBLICAS DE CAMBORIU.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;2.717,00;;Compra Comum;;
192 - 2018;03/05/2018;AQUISIÇÃO DE DUCHA PARA BANHEIRO UTILIZADO PELOS POLICIAIS PLANTONISTAS, OS QUAIS PERMANECEM POR 24 HORAS NA DELEGACIA DE POLICIA DE CAMBORIU/CITRAN;SECRETARIA DE ADMINISTRAÇÃO;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;199,55;;Compra Comum;;
191 - 2018;03/05/2018;MATERIAL DE LIMPEZA PARA A DELEGACIA DE CAMBORIU/CITRAN.;SECRETARIA DE ADMINISTRAÇÃO;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;219,00;;Compra Comum;;
190 - 2018;03/05/2018;AQUISIÇÃO DE PLACAS INDICATIVAS PARA O CITRAN DE CAMBORIU.;SECRETARIA DE ADMINISTRAÇÃO;SILVA & ENGELS IMPRESSOES LTDA - ME;;492,00;;Compra Comum;;
189 - 2018;03/05/2018;AQUISIÇÃO DE PERIFÉRICOS E TONERS PARA MANUTENÇÃO DOS COMPUTADORES E IMPRESSORAS DA 1ª COMPANHIA DE POLICIA MILITAR DE CAMBORIU.;SECRETARIA DE ADMINISTRAÇÃO;JULIO CESAR GARCIA INFORMATICA  ME.;;1.375,00;;Compra Comum;;
188 - 2018;27/04/2018;SERVIÇO DE MANUTENÇÃO DAS FECHADURAS DAS 03 PORTAS DA PROCURADORIA GERAL, INCLUINDO A INSTALAÇÃO DE 02 NOVAS FECHADURAS AUXILIARES MODELO TETRA.;PROCURADORIA GERAL DO MUNICÍPIO;DIOGO BITTENCOURT CARDOSO;;280,00;;Compra Comum;;
187 - 2018;26/04/2018;AQUISIÇÃO DE MANTA GEOTEXTIL, DESTINADA A SER APLICADA NA PREPARAÇÃO DE PAVIMENTAÇÃO E MANUTENÇÃO DO SISTEMA DE ESGOTAMENTO PLUVIAL DAS RUAS DO MUNICÍPIO.;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;TECNISUL DISTRIB. DE PROD. TECN. PARA CONSTR. LTDA;;5.978,00;;Compra Comum;;
186 - 2018;24/04/2018;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ESPAÇO VIRTUAL, QUE TEM POR FINALIDADE ARMAZENAR O SISTEMA TRIBUTARIO DESTA SECRETARIA, FORNECER OS SERVIÇOS DE ACESSOS E FIREWALL, POR UM PERIÓDO DE 12 (DOZE) MESES.;SECRETARIA DE FINANÇAS;EMBRACORE INFORMÁTICA LTDA.;;7.862,00;;Compra Comum;;
185 - 2018;24/04/2018;;SECRETARIA DE ADMINISTRAÇÃO;TAMOYO COM. DE FERRAM. FERRAG. E ART. MARC. LTDA;;324,00;;Compra Comum;;
184 - 2018;24/04/2018;FORNECIMENTO DE GENEROS ALIMENTICIOS QUE SERÃO UTILIZADOS NOS ENCONTROS EDUCATIVOS E FESTIVOS, DESTINADO AS AGRICULTURAS DO MUNICIPIO DE CAMBORIÚ.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;PATRICIA PORTO MELO;;3.172,00;;Compra Comum;;
183 - 2018;23/04/2018;AQUISIÇÃO DE PARABRISA DEVIDO A UMA PEDRA QUE ATINGIU O VEÍCULO CORSA PLACA MJV 0144 PERTENCENTE A SECRETARIA DE AGRICULTURA DE CAMBORIU, SENDO QUE O MESMO ESTAVA EM INSPEÇÃO VETERINÁRIA.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;RODRIGO HUBNER - ME;;450,00;;Compra Comum;;
182 - 2018;23/04/2018;AQUISIÇÃO DE PARABRISA PARA CARRO KIA BONGO CAMINHÃO - PLACA MIQ 2633, PERTENCENTE A SECRETARIA DE AGRICULTURA, SENDO NECESSÁRIO A TROCA COM URGÊNCIA DEVIDO A UMA PEDRA QUE ATINGIU O MESMO SENDO ASSIM TRINCADO.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;RODRIGO HUBNER - ME;;498,00;;Compra Comum;;
181 - 2018;23/04/2018;MANUTENÇÃO NA REDE ELÉTRICA COM SUBSTITUIÇÃO DE DISJUNTORES, LÂMPADAS E TOMADAS COM MAU CONTATO NA 1ª CIA DE POLICIA MILITAR DE CAMBORIU.;SECRETARIA DE ADMINISTRAÇÃO;OSMAR TEIXEIRA DA SILVA 81621280772;;600,00;;Compra Comum;;
180 - 2018;20/04/2018;PRESTAÇÃO DE SERVIÇO DE HOSPEDAGEM DO MOTORISTA DO PREFEITO NA CIDADE DE LAGES PARA PARTICIPAR DA CONFERÊNCIA DA CIDADE DIGITAL.;GABINETE DO PREFEITO;HOTEL MAP HOSPEDAGEM E EVENTOS LTDA.;;374,00;;Compra Comum;;
179 - 2018;20/04/2018;PRESTAÇÃO DE SERVIÇO DE HOSPEDAGEM DO SR. MUSHUE DAYAN HAMPEL VIEIRA - 949.047.079-15 - 2261513 - DF - COORDENADOR GERAL DA SECRETARIA NACIONAL DE PROTEÇÃO E DEFESA CIVIL ,QUE REALIZARÁ VISITA TÉCNICA EM QUE REPASSANDO ORIENTAÇÕES DE FORMATAÇÃO DE PROPOSTAS DE PREVENÇÃO.;GABINETE DO PREFEITO;BSC HOTELARIA CAMBORIU LTDA - ME;;150,00;;Compra Comum;;
178 - 2018;19/04/2018;AQUISIÇÃO DE APARELHO TELEFÔNICO A SER INSTALADO NA SEDE DA SECRETARIA DE OBRAS, EM SUBSTITUIÇÃO A UM APARELHO DANIFICADO.;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;CESAR PEREIRA -ME;;75,00;;Compra Comum;;
177 - 2018;19/04/2018;SERVIÇO TÉCNICO PARA O CONSERTO DO RELÓGIO PONTO DIGITAL, NA EXTENSÃO DA SECRETARIA DE OBRAS, NO BAIRRO MONTE ALEGRE.;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;RICARDO SOARES - ME;;210,00;;Compra Comum;;
176 - 2018;19/04/2018;SERVIÇO DE DESLOCAMENTO TÉCNICO PARA INSTALAÇÃO DE RAMAL RELEFÔNICO NA SEDE DA SECRETARIA DE OBRAS.;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;CESAR PEREIRA -ME;;300,00;;Compra Comum;;
175 - 2018;19/04/2018;AQUISIÇÃO DE GÁS PARA O CONSUMO NAS COZINHAS DO PAÇO MUNICIPAL.;SECRETARIA DE ADMINISTRAÇÃO;ANNE HELLEN LAUDELINA DA ROSA DE PAULO;;276,00;;Compra Comum;;
174 - 2018;19/04/2018;A PRESENTE REQUISIÇÃO TEM POR OBJETIVO A CONFECÇÃO DE BLOCOS DE NOTIFICAÇÃO DESTINADOS AO USO DOS FISCAIS NO DEPARTAMENTO DE FISCALIZAÇÃO DE OBRAS DESTA SECRETARIA.;SECRETARIA DE PLANEJAMENTO URBANO;GRÁFICA DELTA LTDA ME;;490,00;;Compra Comum;;
173 - 2018;19/04/2018;AQUISIÇÃO DE MATERIAL PARA SINALIZAÇÃO DE EMERGÊNCIA DO GINÁSIO DE ESPORTES IRINEU BORNHASEN, TENDO EM VISTA A REALIZAÇÃO DE EVENTO NO ESPAÇO E A NECESSIDADE DE ADEQUAÇÃO AS EXIGÊNCIAS DOS BOMBEIROS.;SECRETARIA DE ADMINISTRAÇÃO;ZEUS DO BRASIL LTDA.;;95,00;;Compra Comum;;
172 - 2018;18/04/2018;PRESTAÇÃO DE SERVIÇOS DE PEÇAS ARTÍTICAS EXCLUSIVAS, QUE SERÃO ENTREGUES AO PRESIDENTE E VICE PRESIDENTE DO 36º ENCONTRO INTERNACIONAL DE MISSÕES - GMUH, PELO PREFEITO E VICE PREFEITO DO MUNICÍPIO DE CAMBORIU. POR SE TRATAR DE PEÇAS ARTÍSTICAS EXCLUSIVAS SEGUE APENAS DOIS ORÇAMENTOS DEVIDO A DIFICULDADE DE OBTER UM TERCEIRO ORÇAMENTO.;GABINETE DO PREFEITO;GLASPREMIUM COM. DE TROFÉUS E BRINDES LTDA;;2.450,00;;Compra Comum;;
171 - 2018;16/04/2018;AQUISIÇÃO DE CAMISAS E COLETES PARA IDENTIFICAÇÃO DE SERVIDORES QUE REALIZARÃO TRABALHOS DE APOIO E FISCALIZAÇÃO NOS EVENTOS DO CALENDÁRIO MUNICIPAL AO LONGO DO ANO DE 2018.;GABINETE DO PREFEITO;FRANCISCO XAVIER ROCHA - ME;;7.414,70;;Compra Comum;;
